fun_name,ea,size,has_input_masks,tri_slot_hits,polarity_pair,large_effects_call,score,candidate_type,source_file
FUN_00018878,100472,60,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018878,100472,60,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_000188b4,100532,40,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_000188b4,100532,40,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018934,100660,144,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018934,100660,144,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018934,100660,144,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018934,100660,144,False,0,False,False,0,other,exports\bundle_LEGGIT.EXE.jsonl
FUN_000189c4,100804,144,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_000189c4,100804,144,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000189c4,100804,144,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_000189c4,100804,144,False,0,False,False,0,other,exports\bundle_LEGGIT.EXE.jsonl
FUN_000189d0,100816,60,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_000189d0,100816,60,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018a0c,100876,564,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018a0c,100876,564,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018a54,100948,48,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018a54,100948,48,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018a54,100948,48,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018a54,100948,48,False,0,False,False,0,other,exports\bundle_LEGGIT.EXE.jsonl
FUN_00018a84,100996,120,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018a84,100996,120,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018a84,100996,120,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018a84,100996,120,False,0,False,False,0,other,exports\bundle_LEGGIT.EXE.jsonl
FUN_00018aa4,101028,632,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018aa4,101028,632,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_00018aa4,101028,632,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018aa4,101028,632,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018afc,101116,104,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018afc,101116,104,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018afc,101116,104,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018afc,101116,104,False,0,False,False,0,other,exports\bundle_LEGGIT.EXE.jsonl
FUN_00018c40,101440,32,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018c40,101440,32,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018c40,101440,32,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018c40,101440,32,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_00018c60,101472,36,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018c60,101472,36,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018c60,101472,36,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018c60,101472,36,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_00018c84,101508,116,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018c84,101508,116,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018c84,101508,116,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018c84,101508,116,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_00018cf8,101624,96,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018cf8,101624,96,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018cf8,101624,96,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018cf8,101624,96,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_00018d1c,101660,88,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018d1c,101660,88,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_00018d1c,101660,88,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018d1c,101660,88,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018d58,101720,56,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018d58,101720,56,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018d58,101720,56,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018d58,101720,56,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_00018d74,101748,208,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018d74,101748,208,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
FUN_00018d74,101748,208,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018d74,101748,208,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018d90,101776,28,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018d90,101776,28,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018d90,101776,28,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018d90,101776,28,False,0,False,False,0,other,exports\bundle_MAIN.EXE.jsonl
FUN_00018dac,101804,404,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018dac,101804,404,False,0,False,False,0,other,exports\bundle_ghidra.jsonl
FUN_00018e44,101956,84,False,0,False,False,0,other,exports\bundle_all_plus_demo.jsonl
FUN_00018e44,101956,84,False,0,False,False,0,other,exports\bundle_GAME.BIN.jsonl
