fun_name,ea,size,shift_sites,unknown_pos_store_hits,small_neg_hits,velocity_adj_hits,heuristic_score,source_file,offsets_context_sample
FUN_0004a058,303192,964,3,3,2,0,10,exports\bundle_ghidra.jsonl,0x3e;0x68;0x98;0x9c;0xb8;0xc00000
FUN_0004a058,303192,964,3,3,2,0,10,exports\bundle_ghidra.jsonl,0x3e;0x68;0x98;0x9c;0xb8;0xc00000
FUN_0001003c,65596,764,4,4,0,0,8,exports\bundle_all_plus_demo.jsonl,0x68;0x6c;0x6e;0x70
FUN_0001003c,65596,764,4,4,0,0,8,exports\bundle_GAME.BIN.jsonl,0x68;0x6c;0x6e;0x70
FUN_0001003c,65596,764,4,4,0,0,8,exports\bundle_ghidra.jsonl,0x68;0x6c;0x6e;0x70
FUN_0001003c,65596,764,4,4,0,0,8,exports\bundle_ghidra.jsonl,0x68;0x6c;0x6e;0x70
FUN_00048150,295248,1188,4,4,0,0,8,exports\bundle_all_plus_demo.jsonl,0x14;0x3c;0x3e;0x40;0xb8;0xc;0xdc
FUN_00048150,295248,1188,4,4,0,0,8,exports\bundle_GAME.BIN.jsonl,0x14;0x3c;0x3e;0x40;0xb8;0xc;0xdc
FUN_00048150,295248,1188,4,4,0,0,8,exports\bundle_ghidra.jsonl,0x14;0x3c;0x3e;0x40;0xb8;0xc;0xdc
FUN_00048150,295248,1188,4,4,0,0,8,exports\bundle_ghidra.jsonl,0x14;0x3c;0x3e;0x40;0xb8;0xc;0xdc
FUN_000489a8,297384,1400,4,4,0,0,8,exports\bundle_all_plus_demo.jsonl,0x34;0x36;0x38;0x3c;0x3e;0x40;0x44;0x48;0xb8;0xc;0xea
FUN_000489a8,297384,1400,4,4,0,0,8,exports\bundle_GAME.BIN.jsonl,0x34;0x36;0x38;0x3c;0x3e;0x40;0x44;0x48;0xb8;0xc;0xea
FUN_000489a8,297384,1400,4,4,0,0,8,exports\bundle_ghidra.jsonl,0x34;0x36;0x38;0x3c;0x3e;0x40;0x44;0x48;0xb8;0xc;0xea
FUN_000489a8,297384,1400,4,4,0,0,8,exports\bundle_ghidra.jsonl,0x34;0x36;0x38;0x3c;0x3e;0x40;0x44;0x48;0xb8;0xc;0xea
FUN_0001ea04,125444,272,3,3,1,0,8,exports\bundle_all_plus_demo.jsonl,0x10;0x12;0x14;0x15;0x18;0x1a;0x1c;0x20;0x22;0x29;0x2f;0xc
FUN_0001ea04,125444,272,3,3,1,0,8,exports\bundle_ghidra.jsonl,0x10;0x12;0x14;0x15;0x18;0x1a;0x1c;0x20;0x22;0x29;0x2f;0xc
FUN_0001ea04,125444,272,3,3,1,0,8,exports\bundle_ghidra.jsonl,0x10;0x12;0x14;0x15;0x18;0x1a;0x1c;0x20;0x22;0x29;0x2f;0xc
FUN_0001ea04,125444,272,3,3,1,0,8,exports\bundle_MAIN.EXE.jsonl,0x10;0x12;0x14;0x15;0x18;0x1a;0x1c;0x20;0x22;0x29;0x2f;0xc
FUN_00023110,143632,112,3,3,1,0,8,exports\bundle_all_plus_demo.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00023110,143632,112,3,3,1,0,8,exports\bundle_GAME.BIN.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00023110,143632,112,3,3,1,0,8,exports\bundle_ghidra.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00023110,143632,112,3,3,1,0,8,exports\bundle_ghidra.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00040a4c,264780,76,3,3,1,0,8,exports\bundle_all_plus_demo.jsonl,0x100;0x102;0x114;0x118;0x18;0x1c;0x40;0x400;0xc0;0xd4
FUN_00040a4c,264780,76,3,3,1,0,8,exports\bundle_GAME.BIN.jsonl,0x100;0x102;0x114;0x118;0x18;0x1c;0x40;0x400;0xc0;0xd4
FUN_00040a4c,264780,76,3,3,1,0,8,exports\bundle_ghidra.jsonl,0x100;0x102;0x114;0x118;0x18;0x1c;0x40;0x400;0xc0;0xd4
FUN_00040a4c,264780,76,3,3,1,0,8,exports\bundle_ghidra.jsonl,0x100;0x102;0x114;0x118;0x18;0x1c;0x40;0x400;0xc0;0xd4
FUN_00040a98,264856,1628,3,3,1,0,8,exports\bundle_all_plus_demo.jsonl,0x100;0x102;0x114;0x118;0x18;0x1c;0x40;0x400;0xc0;0xd4
FUN_00040a98,264856,1628,3,3,1,0,8,exports\bundle_GAME.BIN.jsonl,0x100;0x102;0x114;0x118;0x18;0x1c;0x40;0x400;0xc0;0xd4
FUN_00040a98,264856,1628,3,3,1,0,8,exports\bundle_ghidra.jsonl,0x100;0x102;0x114;0x118;0x18;0x1c;0x40;0x400;0xc0;0xd4
FUN_00040a98,264856,1628,3,3,1,0,8,exports\bundle_ghidra.jsonl,0x100;0x102;0x114;0x118;0x18;0x1c;0x40;0x400;0xc0;0xd4
FUN_0000df30,57136,2524,2,2,2,0,8,exports\bundle_all_plus_demo.jsonl,0xc
FUN_0000df30,57136,2524,2,2,2,0,8,exports\bundle_GAME.BIN.jsonl,0xc
FUN_0000df30,57136,2524,2,2,2,0,8,exports\bundle_ghidra.jsonl,0xc
FUN_0000df30,57136,2524,2,2,2,0,8,exports\bundle_ghidra.jsonl,0xc
FUN_00019a88,105096,1060,2,2,2,0,8,exports\bundle_all_plus_demo.jsonl,0x16e;0x236;0xc
FUN_00019a88,105096,1060,2,2,2,0,8,exports\bundle_GAME.BIN.jsonl,0x16e;0x236;0xc
FUN_00019a88,105096,1060,2,2,2,0,8,exports\bundle_ghidra.jsonl,0x16e;0x236;0xc
FUN_00019a88,105096,1060,2,2,2,0,8,exports\bundle_ghidra.jsonl,0x16e;0x236;0xc
FUN_00023698,145048,372,2,2,2,0,8,exports\bundle_all_plus_demo.jsonl,0x10;0x14;0x36;0x50;0xc;0xcc;0xd0;0xd4;0xd6
FUN_00023698,145048,372,2,2,2,0,8,exports\bundle_GAME.BIN.jsonl,0x10;0x14;0x36;0x50;0xc;0xcc;0xd0;0xd4;0xd6
FUN_00023698,145048,372,2,2,2,0,8,exports\bundle_ghidra.jsonl,0x10;0x14;0x36;0x50;0xc;0xcc;0xd0;0xd4;0xd6
FUN_00023698,145048,372,2,2,2,0,8,exports\bundle_ghidra.jsonl,0x10;0x14;0x36;0x50;0xc;0xcc;0xd0;0xd4;0xd6
FUN_0002685c,157788,1036,2,2,2,0,8,exports\bundle_all_plus_demo.jsonl,0x400;0xb8;0xc
FUN_0002685c,157788,1036,2,2,2,0,8,exports\bundle_GAME.BIN.jsonl,0x400;0xb8;0xc
FUN_0002685c,157788,1036,2,2,2,0,8,exports\bundle_ghidra.jsonl,0x400;0xb8;0xc
FUN_0002685c,157788,1036,2,2,2,0,8,exports\bundle_ghidra.jsonl,0x400;0xb8;0xc
FUN_00035cc0,220352,1792,2,2,2,0,8,exports\bundle_all_plus_demo.jsonl,0x164;0x18;0x1c;0x34;0x38;0xe8
FUN_00035cc0,220352,1792,2,2,2,0,8,exports\bundle_GAME.BIN.jsonl,0x164;0x18;0x1c;0x34;0x38;0xe8
FUN_00035cc0,220352,1792,2,2,2,0,8,exports\bundle_ghidra.jsonl,0x164;0x18;0x1c;0x34;0x38;0xe8
FUN_00035cc0,220352,1792,2,2,2,0,8,exports\bundle_ghidra.jsonl,0x164;0x18;0x1c;0x34;0x38;0xe8
FUN_00046a34,289332,2064,2,2,2,0,8,exports\bundle_all_plus_demo.jsonl,0x12;0xb8;0xbc;0xc;0xd8
FUN_00046a34,289332,2064,2,2,2,0,8,exports\bundle_GAME.BIN.jsonl,0x12;0xb8;0xbc;0xc;0xd8
FUN_00046a34,289332,2064,2,2,2,0,8,exports\bundle_ghidra.jsonl,0x12;0xb8;0xbc;0xc;0xd8
FUN_00046a34,289332,2064,2,2,2,0,8,exports\bundle_ghidra.jsonl,0x12;0xb8;0xbc;0xc;0xd8
FUN_00035088,217224,548,3,3,0,0,6,exports\bundle_all_plus_demo.jsonl,0x254;0x256;0x294;0x334;0x336
FUN_00035088,217224,548,3,3,0,0,6,exports\bundle_GAME.BIN.jsonl,0x254;0x256;0x294;0x334;0x336
FUN_00035088,217224,548,3,3,0,0,6,exports\bundle_ghidra.jsonl,0x254;0x256;0x294;0x334;0x336
FUN_00035088,217224,548,3,3,0,0,6,exports\bundle_ghidra.jsonl,0x254;0x256;0x294;0x334;0x336
FUN_00042904,272644,576,3,0,3,0,6,exports\bundle_all_plus_demo.jsonl,
FUN_00042904,272644,576,3,0,3,0,6,exports\bundle_GAME.BIN.jsonl,
FUN_00042904,272644,576,3,0,3,0,6,exports\bundle_ghidra.jsonl,
FUN_00042904,272644,576,3,0,3,0,6,exports\bundle_ghidra.jsonl,
FUN_00046024,286756,1132,3,3,0,0,6,exports\bundle_all_plus_demo.jsonl,0x1a;0x1c;0x22;0x26;0x28;0x3c;0x3e;0x40
FUN_00046024,286756,1132,3,3,0,0,6,exports\bundle_GAME.BIN.jsonl,0x1a;0x1c;0x22;0x26;0x28;0x3c;0x3e;0x40
FUN_00046024,286756,1132,3,3,0,0,6,exports\bundle_ghidra.jsonl,0x1a;0x1c;0x22;0x26;0x28;0x3c;0x3e;0x40
FUN_00046024,286756,1132,3,3,0,0,6,exports\bundle_ghidra.jsonl,0x1a;0x1c;0x22;0x26;0x28;0x3c;0x3e;0x40
FUN_00047f54,294740,328,3,3,0,0,6,exports\bundle_all_plus_demo.jsonl,0x3c;0x40
FUN_00047f54,294740,328,3,3,0,0,6,exports\bundle_GAME.BIN.jsonl,0x3c;0x40
FUN_00047f54,294740,328,3,3,0,0,6,exports\bundle_ghidra.jsonl,0x3c;0x40
FUN_00047f54,294740,328,3,3,0,0,6,exports\bundle_ghidra.jsonl,0x3c;0x40
FUN_00037114,225556,408,2,2,1,0,6,exports\bundle_all_plus_demo.jsonl,0x18;0x1c;0x20;0x24;0x28
FUN_00037114,225556,408,2,2,1,0,6,exports\bundle_GAME.BIN.jsonl,0x18;0x1c;0x20;0x24;0x28
FUN_00037114,225556,408,2,2,1,0,6,exports\bundle_ghidra.jsonl,0x18;0x1c;0x20;0x24;0x28
FUN_00037114,225556,408,2,2,1,0,6,exports\bundle_ghidra.jsonl,0x18;0x1c;0x20;0x24;0x28
FUN_00001ad4,6868,460,2,0,2,0,4,exports\bundle_all_plus_demo.jsonl,
FUN_00001ad4,6868,460,2,0,2,0,4,exports\bundle_ghidra.jsonl,
FUN_00001ad4,6868,460,2,0,2,0,4,exports\bundle_ghidra.jsonl,
FUN_00001ad4,6868,460,2,0,2,0,4,exports\bundle_ROT.BIN.jsonl,
FUN_00009f6c,40812,676,2,2,0,0,4,exports\bundle_all_plus_demo.jsonl,0x68
FUN_00009f6c,40812,676,2,2,0,0,4,exports\bundle_GAME.BIN.jsonl,0x68
FUN_00009f6c,40812,676,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x68
FUN_00009f6c,40812,676,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x68
FUN_0000a210,41488,508,2,2,0,0,4,exports\bundle_all_plus_demo.jsonl,0x12
FUN_0000a210,41488,508,2,2,0,0,4,exports\bundle_GAME.BIN.jsonl,0x12
FUN_0000a210,41488,508,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x12
FUN_0000a210,41488,508,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x12
FUN_00023000,143360,272,2,2,0,0,4,exports\bundle_all_plus_demo.jsonl,0x182;0x34;0x38;0xc;0xec
FUN_00023000,143360,272,2,2,0,0,4,exports\bundle_GAME.BIN.jsonl,0x182;0x34;0x38;0xc;0xec
FUN_00023000,143360,272,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x182;0x34;0x38;0xc;0xec
FUN_00023000,143360,272,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x182;0x34;0x38;0xc;0xec
FUN_00023210,143888,216,2,2,0,0,4,exports\bundle_all_plus_demo.jsonl,0x182;0x184;0x34;0x38;0x78;0xc;0xec
FUN_00023210,143888,216,2,2,0,0,4,exports\bundle_GAME.BIN.jsonl,0x182;0x184;0x34;0x38;0x78;0xc;0xec
FUN_00023210,143888,216,2,2,0,0,4,exports\bundle_ghidra.jsonl,0x182;0x184;0x34;0x38;0x78;0xc;0xec
