# idx,cos,sin,hexPair  meanR=4095.99 varR=0.08 minR=4095.38 maxR=4096.59
448,3760,1625,0x06590eb0
449,-1625,3760,0x0eb0f9a7
450,3757,1631,0x065f0ead
451,-1631,3757,0x0eadf9a1
452,3755,1637,0x06650eab
453,-1637,3755,0x0eabf99b
454,3752,1643,0x066b0ea8
455,-1643,3752,0x0ea8f995
456,3750,1648,0x06700ea6
457,-1648,3750,0x0ea6f990
458,3747,1654,0x06760ea3
459,-1654,3747,0x0ea3f98a
460,3745,1660,0x067c0ea1
461,-1660,3745,0x0ea1f984
462,3742,1666,0x06820e9e
463,-1666,3742,0x0e9ef97e
464,3739,1671,0x06870e9b
465,-1671,3739,0x0e9bf979
466,3737,1677,0x068d0e99
467,-1677,3737,0x0e99f973
468,3734,1683,0x06930e96
469,-1683,3734,0x0e96f96d
470,3732,1689,0x06990e94
471,-1689,3732,0x0e94f967
472,3729,1694,0x069e0e91
473,-1694,3729,0x0e91f962
474,3727,1700,0x06a40e8f
475,-1700,3727,0x0e8ff95c
476,3724,1706,0x06aa0e8c
477,-1706,3724,0x0e8cf956
478,3721,1711,0x06af0e89
479,-1711,3721,0x0e89f951
480,3719,1717,0x06b50e87
481,-1717,3719,0x0e87f94b
482,3716,1723,0x06bb0e84
483,-1723,3716,0x0e84f945
484,3713,1729,0x06c10e81
485,-1729,3713,0x0e81f93f
486,3711,1734,0x06c60e7f
487,-1734,3711,0x0e7ff93a
488,3708,1740,0x06cc0e7c
489,-1740,3708,0x0e7cf934
490,3705,1746,0x06d20e79
491,-1746,3705,0x0e79f92e
492,3703,1751,0x06d70e77
493,-1751,3703,0x0e77f929
494,3700,1757,0x06dd0e74
495,-1757,3700,0x0e74f923
496,3697,1763,0x06e30e71
497,-1763,3697,0x0e71f91d
498,3695,1768,0x06e80e6f
499,-1768,3695,0x0e6ff918
500,3692,1774,0x06ee0e6c
501,-1774,3692,0x0e6cf912
502,3689,1780,0x06f40e69
503,-1780,3689,0x0e69f90c
504,3686,1785,0x06f90e66
505,-1785,3686,0x0e66f907
506,3684,1791,0x06ff0e64
507,-1791,3684,0x0e64f901
508,3681,1797,0x07050e61
509,-1797,3681,0x0e61f8fb
510,3678,1802,0x070a0e5e
