score,name,disp,ea,size,lvl,masks,edges,kws,outdeg,indeg
1,FUN_00007024,FUN_00007024,0x00007024,96,-1,0,0,0,0,0
1,FUN_00007084,FUN_00007084,0x00007084,144,-1,0,0,0,0,0
1,FUN_00007114,FUN_00007114,0x00007114,36,-1,0,0,0,0,0
1,FUN_00007138,FUN_00007138,0x00007138,88,-1,0,0,0,0,0
1,FUN_000071b8,FUN_000071b8,0x000071b8,52,-1,0,0,0,0,0
1,FUN_00007310,FUN_00007310,0x00007310,220,-1,0,0,0,0,0
1,FUN_000073ec,FUN_000073ec,0x000073ec,48,-1,0,0,0,0,0
1,FUN_0000741c,FUN_0000741c,0x0000741c,36,-1,0,0,0,0,0
1,FUN_00007440,FUN_00007440,0x00007440,36,-1,0,0,0,0,0
1,FUN_00007464,FUN_00007464,0x00007464,36,-1,0,0,0,0,0
1,FUN_00007488,FUN_00007488,0x00007488,36,-1,0,0,0,0,0
1,FUN_000074ac,FUN_000074ac,0x000074ac,40,-1,0,0,0,0,0
1,FUN_000074d4,FUN_000074d4,0x000074d4,68,-1,0,0,0,0,0
1,FUN_00007574,FUN_00007574,0x00007574,36,-1,0,0,0,0,0
1,FUN_00007598,FUN_00007598,0x00007598,72,-1,0,0,0,0,0
1,FUN_000075e0,FUN_000075e0,0x000075e0,40,-1,0,0,0,0,0
1,FUN_00007608,FUN_00007608,0x00007608,36,-1,0,0,0,0,0
1,FUN_0000762c,FUN_0000762c,0x0000762c,84,-1,0,0,0,0,0
1,FUN_00007680,FUN_00007680,0x00007680,144,-1,0,0,0,0,0
1,FUN_00007710,FUN_00007710,0x00007710,116,-1,0,0,0,0,0
1,FUN_00007784,FUN_00007784,0x00007784,116,-1,0,0,0,0,0
1,FUN_000077f8,FUN_000077f8,0x000077f8,48,-1,0,0,0,0,0
1,FUN_00007828,FUN_00007828,0x00007828,112,-1,0,0,0,0,0
1,FUN_00007898,FUN_00007898,0x00007898,68,-1,0,0,0,0,0
1,FUN_000078dc,FUN_000078dc,0x000078dc,44,-1,0,0,0,0,0
1,FUN_00007908,FUN_00007908,0x00007908,52,-1,0,0,0,0,0
1,FUN_0000793c,FUN_0000793c,0x0000793c,128,-1,0,0,0,0,0
1,FUN_000079bc,FUN_000079bc,0x000079bc,44,-1,0,0,0,0,0
1,FUN_000079e8,FUN_000079e8,0x000079e8,140,-1,0,0,0,0,0
1,FUN_00007a74,FUN_00007a74,0x00007a74,60,-1,0,0,0,0,0
1,FUN_00007ab0,FUN_00007ab0,0x00007ab0,68,-1,0,0,0,0,0
1,FUN_00007b44,FUN_00007b44,0x00007b44,212,-1,0,0,0,0,0
1,FUN_00007c18,FUN_00007c18,0x00007c18,80,-1,0,0,0,0,0
1,FUN_00007c68,FUN_00007c68,0x00007c68,92,-1,0,0,0,0,0
1,FUN_00007cc4,FUN_00007cc4,0x00007cc4,80,-1,0,0,0,0,0
1,FUN_00007d14,FUN_00007d14,0x00007d14,144,-1,0,0,0,0,0
1,FUN_00007e0c,FUN_00007e0c,0x00007e0c,52,-1,0,0,0,0,0
1,FUN_00007e40,FUN_00007e40,0x00007e40,80,-1,0,0,0,0,0
1,FUN_00007e90,FUN_00007e90,0x00007e90,128,-1,0,0,0,0,0
1,FUN_00007f10,FUN_00007f10,0x00007f10,180,-1,0,0,0,0,0
1,FUN_00007fc4,FUN_00007fc4,0x00007fc4,124,-1,0,0,0,0,0
1,FUN_00008040,FUN_00008040,0x00008040,68,-1,0,0,0,0,0
1,FUN_00008084,FUN_00008084,0x00008084,92,-1,0,0,0,0,0
1,FUN_000080e0,FUN_000080e0,0x000080e0,60,-1,0,0,0,0,0
1,FUN_0000811c,FUN_0000811c,0x0000811c,60,-1,0,0,0,0,0
1,FUN_00008158,FUN_00008158,0x00008158,200,-1,0,0,0,0,0
1,FUN_00008220,FUN_00008220,0x00008220,204,-1,0,0,0,0,0
1,FUN_000082ec,FUN_000082ec,0x000082ec,192,-1,0,0,0,0,0
1,FUN_000083ac,FUN_000083ac,0x000083ac,192,-1,0,0,0,0,0
1,FUN_0000846c,FUN_0000846c,0x0000846c,192,-1,0,0,0,0,0
1,FUN_0000852c,FUN_0000852c,0x0000852c,228,-1,0,0,0,0,0
1,FUN_00008610,FUN_00008610,0x00008610,244,-1,0,0,0,0,0
1,FUN_0000880c,FUN_0000880c,0x0000880c,44,-1,0,0,0,0,0
1,FUN_00008838,FUN_00008838,0x00008838,84,-1,0,0,0,0,0
1,FUN_00008b78,FUN_00008b78,0x00008b78,136,-1,0,0,0,0,0
1,FUN_00008c00,FUN_00008c00,0x00008c00,152,-1,0,0,0,0,0
1,FUN_00008c98,FUN_00008c98,0x00008c98,76,-1,0,0,0,0,0
1,FUN_00008ce4,FUN_00008ce4,0x00008ce4,120,-1,0,0,0,0,0
1,FUN_00008d5c,FUN_00008d5c,0x00008d5c,136,-1,0,0,0,0,0
1,FUN_00008de4,FUN_00008de4,0x00008de4,196,-1,0,0,0,0,0
1,FUN_00008ea8,FUN_00008ea8,0x00008ea8,228,-1,0,0,0,0,0
1,FUN_00008f8c,FUN_00008f8c,0x00008f8c,36,-1,0,0,0,0,0
1,FUN_00008fb0,FUN_00008fb0,0x00008fb0,108,-1,0,0,0,0,0
1,FUN_000090ec,FUN_000090ec,0x000090ec,84,-1,0,0,0,0,0
1,FUN_00009140,FUN_00009140,0x00009140,84,-1,0,0,0,0,0
1,FUN_00009194,FUN_00009194,0x00009194,84,-1,0,0,0,0,0
1,FUN_000091fc,FUN_000091fc,0x000091fc,100,-1,0,0,0,0,0
1,FUN_00009274,FUN_00009274,0x00009274,88,-1,0,0,0,0,0
1,FUN_000092cc,FUN_000092cc,0x000092cc,108,-1,0,0,0,0,0
1,FUN_00009338,FUN_00009338,0x00009338,36,-1,0,0,0,0,0
1,FUN_0000935c,FUN_0000935c,0x0000935c,64,-1,0,0,0,0,0
1,FUN_00009638,FUN_00009638,0x00009638,68,-1,0,0,0,0,0
1,FUN_0000967c,FUN_0000967c,0x0000967c,84,-1,0,0,0,0,0
1,FUN_0000976c,FUN_0000976c,0x0000976c,84,-1,0,0,0,0,0
1,FUN_000097c0,FUN_000097c0,0x000097c0,84,-1,0,0,0,0,0
1,FUN_00009814,FUN_00009814,0x00009814,84,-1,0,0,0,0,0
1,FUN_00009868,FUN_00009868,0x00009868,84,-1,0,0,0,0,0
1,FUN_000098bc,FUN_000098bc,0x000098bc,84,-1,0,0,0,0,0
1,FUN_00009928,FUN_00009928,0x00009928,84,-1,0,0,0,0,0
1,FUN_00009afc,phys_FUN_00009afc,0x00009afc,160,-1,0,0,0,0,0
1,FUN_0000aa54,FUN_0000aa54,0x0000aa54,40,-1,0,0,0,0,0
