name,ea,size,in,out,proposed,confidence,reason
FUN_000157ac,0x000157ac,148,0,2,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00015840,0x00015840,148,0,2,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000160ac,0x000160ac,60,0,2,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001ad84,0x0001ad84,364,0,2,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001d404,0x0001d404,212,0,2,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000188b4,0x000188b4,40,6,1,ReturnZero,0.9,decomp returns constant 0; many callers=6
FUN_0001c7fc,0x0001c7fc,64,5,1,ReturnZero,0.9,decomp returns constant 0; many callers=5
FUN_0001ea04,0x0001ea04,272,3,1,ReturnZero,0.9,decomp returns constant 0; many callers=3
FUN_00018878,0x00018878,60,2,1,ReturnZero,0.9,decomp returns constant 0; many callers=2
FUN_0001cbb8,0x0001cbb8,32,2,1,ReturnZero,0.9,decomp returns constant 0; many callers=2
FUN_000189d0,0x000189d0,60,1,1,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001b264,0x0001b264,256,1,1,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001c8cc,0x0001c8cc,32,1,1,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001dad0,0x0001dad0,20,1,1,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001eb74,0x0001eb74,48,1,1,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001ec74,0x0001ec74,28,1,1,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001ecc0,0x0001ecc0,112,1,1,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_000158ec,0x000158ec,124,0,1,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00016384,0x00016384,316,0,1,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000164c0,0x000164c0,308,0,1,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001a614,0x0001a614,96,0,1,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001b964,0x0001b964,144,0,1,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001be70,0x0001be70,96,0,1,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001cc74,0x0001cc74,168,0,1,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001f344,0x0001f344,156,0,1,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000241a4,0x000241a4,32,0,1,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001cc58,0x0001cc58,16,51,0,ReturnZero,0.9,decomp returns constant 0; many callers=51
FUN_0001c85c,0x0001c85c,64,6,0,ReturnZero,0.9,decomp returns constant 0; many callers=6
FUN_0001a4a0,0x0001a4a0,24,5,0,ReturnZero,0.9,decomp returns constant 0; many callers=5
FUN_0001cba8,0x0001cba8,16,4,0,ReturnZero,0.9,decomp returns constant 0; many callers=4
FUN_0001f340,0x0001f340,4,3,0,ReturnZero,0.9,decomp returns constant 0; many callers=3
FUN_0001cbd8,0x0001cbd8,32,2,0,ReturnZero,0.9,decomp returns constant 0; many callers=2
FUN_0001eb14,0x0001eb14,96,2,0,ReturnZero,0.9,decomp returns constant 0; many callers=2
FUN_00018784,0x00018784,56,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001c788,0x0001c788,64,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001c7ec,0x0001c7ec,16,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001c8ec,0x0001c8ec,32,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001c90c,0x0001c90c,64,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001cb88,0x0001cb88,16,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001eba4,0x0001eba4,48,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001ebd4,0x0001ebd4,48,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001ec04,0x0001ec04,32,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001ec24,0x0001ec24,32,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001ec44,0x0001ec44,32,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001ec64,0x0001ec64,16,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_000010b4,0x000010b4,332,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00016948,0x00016948,108,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001b220,0x0001b220,68,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001caa8,0x0001caa8,164,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001cba0,0x0001cba0,8,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001d9c8,0x0001d9c8,44,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001e750,0x0001e750,100,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
thunk_FUN_0001f5d4,0x0001f5c0,8,32,0,Alloc_Mem,0.85,thunk with 32 callers; invoked with small constant sizes
FUN_0001cc38,0x0001cc38,12,6,1,Sync_Wait,0.65,tiny wrapper around sync
FUN_00034460,0x00034460,4,2,0,Sync_Wait,0.65,tiny wrapper around sync
