name,ea,size,in_degree,out_degree,degree,binary
FUN_000122ec,74476,1304,0,0,0,GAME.BIN
FUN_0001dfdc,122844,1208,0,0,0,GAME.BIN
FUN_000412d8,266968,1196,0,0,0,GAME.BIN
FUN_00048150,295248,1188,0,0,0,GAME.BIN
FUN_00012804,75780,1180,0,0,0,GAME.BIN
FUN_0000f8e4,63716,1156,0,0,0,GAME.BIN
FUN_0000f464,62564,1152,0,0,0,GAME.BIN
FUN_00046024,286756,1132,0,0,0,GAME.BIN
FUN_00032c18,207896,1124,0,0,0,GAME.BIN
FUN_0002e8f4,190708,1100,0,0,0,GAME.BIN
FUN_00021c74,138356,1088,0,0,0,GAME.BIN
FUN_00031048,200776,1080,0,0,0,GAME.BIN
FUN_00019a88,105096,1060,0,0,0,GAME.BIN
FUN_00036c34,224308,1048,0,0,0,GAME.BIN
FUN_0002685c,157788,1036,0,0,0,GAME.BIN
FUN_00024558,148824,1020,0,0,0,GAME.BIN
FUN_00041fd8,270296,1012,0,0,0,GAME.BIN
FUN_0001b544,111940,1008,0,0,0,GAME.BIN
FUN_0001f75c,128860,992,0,0,0,GAME.BIN
FUN_0001bf94,114580,988,0,0,0,GAME.BIN
FUN_0004a058,303192,964,0,0,0,GAME.BIN
FUN_0001655c,91484,960,0,0,0,GAME.BIN
FUN_0002a8c8,174280,952,0,0,0,GAME.BIN
FUN_0000cce0,52448,944,0,0,0,GAME.BIN
FUN_0001a1c0,106944,936,0,0,0,GAME.BIN
FUN_0002c964,182628,924,0,0,0,GAME.BIN
FUN_000443b8,279480,924,0,0,0,GAME.BIN
FUN_00034a08,215560,900,0,0,0,GAME.BIN
FUN_0003d984,252292,880,0,0,0,GAME.BIN
FUN_000108bc,67772,864,0,0,0,GAME.BIN
FUN_00037f88,229256,856,0,0,0,GAME.BIN
FUN_000046bc,18108,852,0,0,0,GAME.BIN
FUN_0002b2b8,176824,848,0,0,0,GAME.BIN
FUN_00041ba4,269220,824,0,0,0,GAME.BIN
FUN_00047244,291396,820,0,0,0,GAME.BIN
FUN_0003a25c,238172,812,0,0,0,GAME.BIN
FUN_0002f200,193024,808,0,0,0,GAME.BIN
FUN_0002d2e4,185060,788,0,0,0,GAME.BIN
FUN_00032904,207108,788,0,0,0,GAME.BIN
FUN_00016cbc,93372,784,0,0,0,GAME.BIN
FUN_0002c0bc,180412,784,0,0,0,GAME.BIN
FUN_000456f8,284408,776,0,0,0,GAME.BIN
FUN_0001e978,125304,772,0,0,0,GAME.BIN
FUN_0001003c,65596,764,0,0,0,GAME.BIN
FUN_00034d8c,216460,764,0,0,0,GAME.BIN
FUN_0002c4b0,181424,752,0,0,0,GAME.BIN
FUN_0003ab54,240468,752,0,0,0,GAME.BIN
FUN_00030850,198736,744,0,0,0,GAME.BIN
FUN_00020dcc,134604,732,0,0,0,GAME.BIN
FUN_00018ff4,102388,728,0,0,0,GAME.BIN
FUN_0001ec7c,126076,728,0,0,0,GAME.BIN
FUN_0003af44,241476,728,0,0,0,GAME.BIN
FUN_000146c0,83648,720,0,0,0,GAME.BIN
FUN_0001691c,92444,720,0,0,0,GAME.BIN
FUN_000496b8,300728,712,0,0,0,GAME.BIN
FUN_0001b198,111000,700,0,0,0,GAME.BIN
FUN_00030be8,199656,700,0,0,0,GAME.BIN
FUN_000249e4,149988,696,0,0,0,GAME.BIN
FUN_0001301c,77852,692,0,0,0,GAME.BIN
FUN_00010c1c,68636,688,0,0,0,GAME.BIN
FUN_00009f6c,40812,676,0,0,0,GAME.BIN
FUN_00014c68,85096,672,0,0,0,GAME.BIN
FUN_0002dbc0,187328,656,0,0,0,GAME.BIN
FUN_00021894,137364,652,0,0,0,GAME.BIN
FUN_000352ac,217772,648,0,0,0,GAME.BIN
FUN_00020284,131716,640,0,0,0,GAME.BIN
FUN_0003d0e8,250088,640,0,0,0,GAME.BIN
FUN_0001867c,99964,632,0,0,0,GAME.BIN
FUN_00018aa4,101028,632,0,0,0,GAME.BIN
FUN_0002ef88,192392,632,0,0,0,GAME.BIN
