name,ea,size,callers_n,callees_n,ctrl_hit,phys_hit,binary
FUN_00007828,30760,112,0,0,0,0,GAME.BIN
FUN_00007898,30872,68,0,0,0,0,GAME.BIN
FUN_000078dc,30940,44,0,0,0,0,GAME.BIN
FUN_00007908,30984,52,0,0,0,0,GAME.BIN
FUN_0000793c,31036,128,0,0,0,0,GAME.BIN
FUN_000079bc,31164,44,0,0,0,0,GAME.BIN
FUN_000079e8,31208,140,0,0,0,0,GAME.BIN
FUN_00007a74,31348,60,0,0,0,0,GAME.BIN
FUN_00007ab0,31408,68,0,0,0,0,GAME.BIN
FUN_00007b44,31556,212,0,0,0,0,GAME.BIN
FUN_00007c18,31768,80,0,0,0,0,GAME.BIN
FUN_00007c68,31848,92,0,0,0,0,GAME.BIN
FUN_00007cc4,31940,80,0,0,0,0,GAME.BIN
FUN_00007d14,32020,144,0,0,0,0,GAME.BIN
FUN_00007da4,32164,104,0,0,0,0,GAME.BIN
FUN_00007e0c,32268,52,0,0,0,0,GAME.BIN
FUN_00007e40,32320,80,0,0,0,0,GAME.BIN
FUN_00007e90,32400,128,0,0,0,0,GAME.BIN
FUN_00007f10,32528,180,0,0,0,0,GAME.BIN
FUN_00007fc4,32708,124,0,0,0,0,GAME.BIN
FUN_00008040,32832,68,0,0,0,0,GAME.BIN
FUN_00008084,32900,92,0,0,0,0,GAME.BIN
FUN_000080e0,32992,60,0,0,0,0,GAME.BIN
FUN_0000811c,33052,60,0,0,0,0,GAME.BIN
FUN_00008158,33112,200,0,0,0,0,GAME.BIN
FUN_00008220,33312,204,0,0,0,0,GAME.BIN
FUN_000082ec,33516,192,0,0,0,0,GAME.BIN
FUN_000083ac,33708,192,0,0,0,0,GAME.BIN
FUN_0000846c,33900,192,0,0,0,0,GAME.BIN
FUN_0000852c,34092,228,0,0,0,0,GAME.BIN
FUN_00008610,34320,244,0,0,0,0,GAME.BIN
FUN_00008704,34564,264,0,0,0,0,GAME.BIN
FUN_0000880c,34828,44,0,0,0,0,GAME.BIN
FUN_00008838,34872,84,0,0,0,0,GAME.BIN
FUN_0000888c,34956,280,0,0,0,0,GAME.BIN
FUN_000089a4,35236,372,0,0,0,0,GAME.BIN
FUN_00008b78,35704,136,0,0,0,0,GAME.BIN
FUN_00008c00,35840,152,0,0,0,0,GAME.BIN
FUN_00008c98,35992,76,0,0,0,0,GAME.BIN
FUN_00008ce4,36068,120,0,0,0,0,GAME.BIN
FUN_00008d5c,36188,136,0,0,0,0,GAME.BIN
FUN_00008de4,36324,196,0,0,0,0,GAME.BIN
FUN_00008ea8,36520,228,0,0,0,0,GAME.BIN
FUN_00008f8c,36748,36,0,0,0,0,GAME.BIN
FUN_00008fb0,36784,108,0,0,0,0,GAME.BIN
FUN_000090ec,37100,84,0,0,0,0,GAME.BIN
FUN_00009140,37184,84,0,0,0,0,GAME.BIN
FUN_00009194,37268,84,0,0,0,0,GAME.BIN
FUN_000091fc,37372,100,0,0,0,0,GAME.BIN
FUN_00009274,37492,88,0,0,0,0,GAME.BIN
FUN_000092cc,37580,108,0,0,0,0,GAME.BIN
FUN_00009338,37688,36,0,0,0,0,GAME.BIN
FUN_0000935c,37724,64,0,0,0,0,GAME.BIN
FUN_00009638,38456,68,0,0,0,0,GAME.BIN
FUN_0000967c,38524,84,0,0,0,0,GAME.BIN
FUN_0000976c,38764,84,0,0,0,0,GAME.BIN
FUN_000097c0,38848,84,0,0,0,0,GAME.BIN
FUN_00009814,38932,84,0,0,0,0,GAME.BIN
FUN_00009868,39016,84,0,0,0,0,GAME.BIN
FUN_000098bc,39100,84,0,0,0,0,GAME.BIN
FUN_00009928,39208,84,0,0,0,0,GAME.BIN
FUN_000099a8,39336,340,0,0,0,0,GAME.BIN
FUN_00009afc,39676,160,0,0,0,1,GAME.BIN
FUN_00009d20,40224,588,0,0,0,0,GAME.BIN
FUN_00009f6c,40812,676,0,0,0,0,GAME.BIN
FUN_0000a210,41488,508,0,0,0,0,GAME.BIN
FUN_0000a44c,42060,276,0,0,0,0,GAME.BIN
FUN_0000a770,42864,356,0,0,0,0,GAME.BIN
FUN_0000a8d4,43220,384,0,0,0,0,GAME.BIN
FUN_0000aa54,43604,40,0,0,0,0,GAME.BIN
FUN_0000aa7c,43644,120,0,0,0,0,GAME.BIN
FUN_0000aaf4,43764,72,0,0,0,0,GAME.BIN
FUN_0000ab3c,43836,68,0,0,0,0,GAME.BIN
