crate_index,crate_label,slot_count,value_a_total,value_b_total,combined_total,dominant_domain,dominant_domain_hint,table_ACTION.BIN,table_ATTITUDE.BIN,table_BUDDIES.BIN,table_PERCEPT.BIN,table_POWERUP.BIN,table_PROJECTILES.BIN,table_STATICS.BIN,table_TOYS.BIN,table_VEHICLES.BIN,table_WEAPONS.BIN,domain_ai,domain_combat,domain_engine,domain_other,domain_render,domain_support
30,,6,123,240,363,ai,AI behaviour (libgte-assisted decision data),34,22,80,60,2,35,29,20,53,28,162,28,34,0,117,22
31,,6,197,63,260,ai,AI behaviour (libgte-assisted decision data),36,14,48,52,0,17,14,21,23,35,114,35,36,0,54,21
32,,6,1470,1133,2603,ai,AI behaviour (libgte-assisted decision data),437,222,189,806,3,162,212,143,342,87,1217,87,437,0,716,146
33,,6,1470,613,2083,ai,AI behaviour (libgte-assisted decision data),328,166,156,680,3,122,196,103,235,94,1002,94,328,0,553,106
34,,6,1308,320,1628,ai,AI behaviour (libgte-assisted decision data),267,214,108,466,1,88,149,90,175,70,788,70,267,0,412,91
35,,6,1470,613,2083,ai,AI behaviour (libgte-assisted decision data),328,166,156,680,3,122,196,103,235,94,1002,94,328,0,553,106
36,,6,1470,613,2083,ai,AI behaviour (libgte-assisted decision data),328,166,156,680,3,122,196,103,235,94,1002,94,328,0,553,106
37,,6,1470,613,2083,ai,AI behaviour (libgte-assisted decision data),328,166,156,680,3,122,196,103,235,94,1002,94,328,0,553,106
38,,6,1470,613,2083,ai,AI behaviour (libgte-assisted decision data),328,166,156,680,3,122,196,103,235,94,1002,94,328,0,553,106
39,,6,1470,613,2083,ai,AI behaviour (libgte-assisted decision data),328,166,156,680,3,122,196,103,235,94,1002,94,328,0,553,106
40,,6,1470,613,2083,ai,AI behaviour (libgte-assisted decision data),328,166,156,680,3,122,196,103,235,94,1002,94,328,0,553,106
