score,name,disp,ea,size,lvl,masks,edges,kws,outdeg,indeg
6,FUN_00039a34,FUN_00039a34,0x00039a34,4,1,0,0,0,0,1
4,FUN_00001f24,FUN_00001f24,0x00001f24,52,-1,1,0,0,1,0
4,FUN_00009cd4,FUN_00009cd4,0x00009cd4,184,-1,1,0,0,2,0
4,FUN_0000edc8,phys_FUN_0000edc8,0x0000edc8,172,-1,1,0,0,1,0
4,FUN_000132c0,FUN_000132c0,0x000132c0,708,-1,0,1,0,4,0
4,FUN_00018d58,FUN_00018d58,0x00018d58,56,-1,1,0,0,2,0
4,FUN_00018d90,FUN_00018d90,0x00018d90,28,-1,1,0,0,2,2
4,FUN_00019614,FUN_00019614,0x00019614,144,-1,1,0,0,1,0
4,FUN_00019688,FUN_00019688,0x00019688,44,-1,1,0,0,1,1
4,FUN_000196d0,FUN_000196d0,0x000196d0,84,-1,1,0,0,0,1
4,FUN_00019724,FUN_00019724,0x00019724,152,-1,1,0,0,0,1
4,FUN_0001b964,FUN_0001b964,0x0001b964,144,-1,1,0,0,1,0
4,FUN_0001c7fc,FUN_0001c7fc,0x0001c7fc,64,2,0,0,0,1,5
4,FUN_0001c83c,FUN_0001c83c,0x0001c83c,32,2,0,0,0,3,2
4,FUN_00021fd4,FUN_00021fd4,0x00021fd4,32,2,0,0,0,0,5
4,FUN_00023390,suspect_FUN_00023390,0x00023390,16,2,0,0,0,1,9
3,FUN_000066b0,FUN_000066b0,0x000066b0,384,-1,1,0,0,1,0
3,FUN_0000db18,FUN_0000db18,0x0000db18,940,-1,1,0,0,5,0
3,FUN_00016384,FUN_00016384,0x00016384,316,-1,1,0,0,1,0
3,FUN_000164c0,FUN_000164c0,0x000164c0,308,-1,1,0,0,1,0
3,FUN_000165f4,FUN_000165f4,0x000165f4,332,-1,1,0,0,3,0
3,FUN_00017b68,suspect_FUN_00017b68,0x00017b68,480,-1,1,0,0,7,0
3,FUN_0001b554,FUN_0001b554,0x0001b554,472,-1,1,0,0,2,0
3,FUN_00034460,FUN_00034460,0x00034460,4,2,0,0,0,0,2
3,FUN_00034f08,FUN_00034f08,0x00034f08,4,2,0,0,0,0,1
3,FUN_00034f40,FUN_00034f40,0x00034f40,4,2,0,0,0,0,1
3,FUN_00035858,FUN_00035858,0x00035858,4,2,0,0,0,0,2
3,FUN_00035884,FUN_00035884,0x00035884,1,2,0,0,0,0,2
3,FUN_0003591c,FUN_0003591c,0x0003591c,1,2,0,0,0,0,3
3,FUN_00036d5c,FUN_00036d5c,0x00036d5c,1,2,0,0,0,0,1
3,FUN_00038414,FUN_00038414,0x00038414,1,2,0,0,0,0,2
3,FUN_00038674,FUN_00038674,0x00038674,4,2,0,0,0,0,5
3,FUN_00038b34,FUN_00038b34,0x00038b34,1,2,0,0,0,0,2
3,FUN_00039c38,FUN_00039c38,0x00039c38,1,2,0,0,0,0,3
1,FUN_000009d8,FUN_000009d8,0x000009d8,252,-1,0,0,0,1,0
1,FUN_00000ad4,FUN_00000ad4,0x00000ad4,100,-1,0,0,0,2,0
1,FUN_00000edc,FUN_00000edc,0x00000edc,232,-1,0,0,0,3,0
1,FUN_00000fc4,FUN_00000fc4,0x00000fc4,180,-1,0,0,0,1,0
1,FUN_00001644,FUN_00001644,0x00001644,224,-1,0,0,0,2,0
1,FUN_00001f00,FUN_00001f00,0x00001f00,36,-1,0,0,0,1,0
1,FUN_00002584,FUN_00002584,0x00002584,168,-1,0,0,0,2,0
1,FUN_000026c0,FUN_000026c0,0x000026c0,52,-1,0,0,0,1,0
1,FUN_000028d8,FUN_000028d8,0x000028d8,40,-1,0,0,0,1,0
1,FUN_00002ab0,FUN_00002ab0,0x00002ab0,152,-1,0,0,0,1,0
1,FUN_00002bb0,FUN_00002bb0,0x00002bb0,144,-1,0,0,0,1,0
1,FUN_00002c40,FUN_00002c40,0x00002c40,96,-1,0,0,0,1,0
1,FUN_00002ca0,FUN_00002ca0,0x00002ca0,184,-1,0,0,0,1,0
1,FUN_00002e74,FUN_00002e74,0x00002e74,192,-1,0,0,0,2,0
1,FUN_0000364c,FUN_0000364c,0x0000364c,88,-1,0,0,0,2,0
1,FUN_00003738,FUN_00003738,0x00003738,88,-1,0,0,0,3,0
1,FUN_00003824,FUN_00003824,0x00003824,96,-1,0,0,0,2,0
1,FUN_00004f98,FUN_00004f98,0x00004f98,100,-1,0,0,0,2,0
