symbol,canonical_address_hex,observations,distinct_addresses,map_files,address_histogram
DecDCTinSync,0x80013050,2,5,5,0x80013050(2);0x80013268(2);0x800238F0(2);0x80035844(2);0x80036E70(2)
DecDCTout,0x80013030,2,5,5,0x80013030(2);0x80013248(2);0x800238D0(2);0x80035824(2);0x80036E50(2)
DecDCToutCallback,0x800130EC,2,6,6,0x800130EC(2);0x80013304(2);0x80014864(2);0x8002398C(2);0x800358E0(2);0x80036F0C(2)
DecDCToutSync,0x8001308C,2,5,5,0x8001308C(2);0x800132A4(2);0x8002392C(2);0x80035880(2);0x80036EAC(2)
DecDCTvlc,0x800135DC,2,5,5,0x800135DC(2);0x800137DC(2);0x80023E68(2);0x80035DD0(2);0x800373FC(2)
DecDCTvlcSize,0x800135AC,2,5,5,0x800135AC(2);0x800137AC(2);0x80023E48(2);0x80035DA0(2);0x800373CC(2)
DeliverEvent,0x801218F4,4,14,15,0x801218F4(4);0x80011534(2);0x8001168C(2);0x800142D8(2);0x80014830(2);0x800174E0(2);0x80017578(2);0x8001904C(2);0x800193F8(2);0x8001F8BC(2);0x80036234(2);0x80037860(2);0x80121A00(2);0x80121F4C(2)
DemoApps,0x80013D94,2,2,2,0x80013D94(2);0x80013EEC(2)
DisableEvent,0x8001910C,2,4,4,0x8001910C(2);0x800194C8(2);0x8001D424(2);0x8001D9C8(2)
DisablePAD,0x80120438,4,8,9,0x80120438(4);0x80012CB0(2);0x80015D8C(2);0x800175AC(2);0x8001BB1C(2);0x80037E3C(2);0x80120544(2);0x80120A90(2)
DoLogo,0x80010A80,2,2,2,0x80010A80(2);0x80010B94(2)
DpqColor,0x801160B8,4,5,6,0x801160B8(4);0x80025BCC(2);0x800271E4(2);0x801161C4(2);0x80116710(2)
DpqColor3,0x80111DE0,2,1,1,0x80111DE0(2)
DpqColorLight,0x80111DB8,2,1,1,0x80111DB8(2)
DrawOTag,0x80014840,4,15,17,0x80014840(4);0x80104D64(4);0x800130F8(2);0x80013C58(2);0x80013ED4(2);0x80014B18(2);0x80014CC0(2);0x80014D54(2);0x80014E18(2);0x80014FA0(2);0x8001C524(2);0x80033278(2);0x8003466C(2);0x80104C60(2);0x801053BC(2)
DrawOTag2,0x801071F0,4,6,7,0x801071F0(4);0x80015648(2);0x80016FA4(2);0x800172A4(2);0x801070EC(2);0x80107848(2)
